Категория,Название Avito,Название DomClick
3,"3-к. квартира, 64,3м², 5/24эт.",
3,"3-к. квартира, 64,3м², 6/24эт.",
3,"3-к. квартира, 64,3м², 8/24эт.",
3,"3-к. квартира, 61,1м², 15/24эт.",
3,"3-к. квартира, 64,3м², 9/24эт.",
3,"3-к. квартира, 66м², 2/24эт.",
3,"3-к. квартира, 64,3м², 10/24эт.",
3,"3-к. квартира, 64,3м², 11/24эт.",
3,"3-к. квартира, 64,3м², 12/24эт.",
3,"3-к. квартира, 64,3м², 13/24эт.",
3,"3-к. квартира, 64,3м², 14/24эт.",
3,"3-к. квартира, 67,5м², 5/20эт.",
3,"3-к. квартира, 67,5м², 6/20эт.",
3,"3-к. квартира, 67,5м², 7/20эт.",
3,"3-к. квартира, 67,5м², 8/20эт.",
3,"3-к. квартира, 73,6м², 2/17эт.",
3,"3-к. квартира, 67,5м², 9/20эт.",
3,"3-к. квартира, 64,3м², 15/24эт.",
3,"3-к. квартира, 73,8м², 2/20эт.",
3,"3-к. квартира, 64,3м², 16/24эт.",
3,"3-к. квартира, 68,9м², 4/20эт.",
3,"3-к. квартира, 68,9м², 5/20эт.",
3,"3-к. квартира, 68,9м², 6/20эт.",
3,"3-к. квартира, 68,9м², 7/20эт.",
3,"3-к. квартира, 68,9м², 8/20эт.",
3,"3-к. квартира, 67,5м², 10/20эт.",
3,"3-к. квартира, 68,9м², 9/20эт.",
3,"3-к. квартира, 67,5м², 11/20эт.",
3,"3-к. квартира, 75,2м², 3/17эт.",
3,"3-к. квартира, 67,5м², 12/20эт.",
3,"3-к. квартира, 67,5м², 13/20эт.",
3,"3-к. квартира, 67,5м², 14/20эт.",
3,"3-к. квартира, 74,7м², 17/32эт.",
3,"3-к. квартира, 76,2м², 2/17эт.",
3,"3-к. квартира, 75,2м², 6/17эт.",
3,"3-к. квартира, 74,7м², 18/32эт.",
3,"3-к. квартира, 68,9м², 10/20эт.",
3,"3-к. квартира, 74,7м², 19/32эт.",
3,"3-к. квартира, 75,2м², 8/17эт.",
3,"3-к. квартира, 68,9м², 11/20эт.",
3,"3-к. квартира, 75,2м², 9/17эт.",
3,"3-к. квартира, 68,9м², 12/20эт.",
3,"3-к. квартира, 68,9м², 13/20эт.",
3,"3-к. квартира, 67,5м², 15/20эт.",
3,"3-к. квартира, 68,9м², 14/20эт.",
3,"3-к. квартира, 67,5м², 16/20эт.",
3,"3-к. квартира, 67,5м², 17/20эт.",
3,"3-к. квартира, 74,7м², 20/32эт.",
3,"3-к. квартира, 75,2м², 10/17эт.",
3,"3-к. квартира, 75,2м², 11/17эт.",
3,"3-к. квартира, 68,9м², 15/20эт.",
3,"3-к. квартира, 74,7м², 23/32эт.",
3,"3-к. квартира, 75,2м², 12/17эт.",
3,"3-к. квартира, 68,9м², 16/20эт.",
3,"3-к. квартира, 74,7м², 24/32эт.",
3,"3-к. квартира, 75,2м², 13/17эт.",
3,"3-к. квартира, 68,9м², 17/20эт.",
3,"3-к. квартира, 75,2м², 8/20эт.",
3,"3-к. квартира, 75,2м², 9/20эт.",
3,"3-к. квартира, 75,2м², 15/17эт.",
3,"3-к. квартира, 75,2м², 11/17эт.",
3,"3-к. квартира, 75,2м², 13/17эт.",
3,"3-к. квартира, 75,2м², 10/20эт.",
3,"3-к. квартира, 75,2м², 14/17эт.",
3,"3-к. квартира, 75,2м², 11/20эт.",
3,"3-к. квартира, 75,2м², 12/20эт.",
3,"3-к. квартира, 75,2м², 13/20эт.",
3,"3-к. квартира, 75,2м², 14/20эт.",
3,"3-к. квартира, 75,2м², 16/17эт.",
3,"3-к. квартира, 75,2м², 15/20эт.",
3,"3-к. квартира, 75,2м², 16/20эт.",
3,"3-к. квартира, 75,2м², 17/20эт.",
3,"3-к. квартира, 75,2м², 17/17эт.",
3,"3-к. квартира, 75,2м², 17/17эт.",
3,"3-к. квартира, 82,2м², 32/32эт.",
4,"4-к. квартира, 71,9м², 32/32эт.","4-комн. квартира 71,91 м² 32/32 эт."
5-комн,,"5-комн. квартира 97,13 м² 32/32 эт."
Студия,"Квартира-студия, 22,5м², 13/24эт.","Студия 25,48 м² 2/32 эт."
Студия,"Квартира-студия, 22,5м², 14/24эт.","Студия 57,03 м² 12-20/32 эт."
Студия,"Квартира-студия, 22,8м², 13/20эт.","Студия 24,52 м² 12-29/32 эт."
Студия,"Квартира-студия, 22,5м², 15/24эт.","Студия 38,81 м² 13-20/32 эт."
Студия,"Квартира-студия, 22,5м², 16/24эт.","Студия 27,61 м² 2/24 эт."
Студия,"Квартира-студия, 22,5м², 17/24эт.","Студия 41,36 м² 2/24 эт."
Студия,"Квартира-студия, 24м², 2/20эт.","Студия 27,91 м² 2/24 эт."
Студия,"Квартира-студия, 22,8м², 15/20эт.","Студия 68,86 м² 3-17/24 эт."
Студия,"Квартира-студия, 23,3м², 12/20эт.","Студия 36,23 м² 5-17/24 эт."
Студия,"Квартира-студия, 22,8м², 16/20эт.","Студия 40,34 м² 2-16/24 эт."
Студия,"Квартира-студия, 22,8м², 17/20эт.","Студия 26,82 м² 11-15/24 эт."
Студия,"Квартира-студия, 23,3м², 16/20эт.","Студия 38,73 м² 11-17/24 эт."
Студия,"Квартира-студия, 23,3м², 17/20эт.","Студия 25,6 м² 2/24 эт."
Студия,"Квартира-студия, 25,6м², 2/20эт.","Студия 26,11 м² 2/24 эт."
Студия,"Квартира-студия, 25,5м², 2/32эт.","Студия 52,26 м² 2/24 эт."
Студия,"Квартира-студия, 26,1м², 2/20эт.","Студия 23,99 м² 2/24 эт."
Студия,"Квартира-студия, 25,3м², 10/20эт.","Студия 39,09 м² 2/24 эт."
Студия,"Квартира-студия, 25,3м², 12/20эт.","Студия 46,99 м² 2/24 эт."
Студия,"Квартира-студия, 25,3м², 13/20эт.","Студия 50,89 м² 3-17/24 эт."
Студия,"Квартира-студия, 25,3м², 14/20эт.","Студия 45,69 м² 3-17/24 эт."
Студия,"Квартира-студия, 25,3м², 15/20эт.","Студия 29,74 м² 3/24 эт."
Студия,"Квартира-студия, 25,3м², 16/20эт.","Студия 67,51 м² 5-17/24 эт."
Студия,"Квартира-студия, 25,3м², 17/20эт.","Студия 40,37 м² 5-17/24 эт."
Студия,"Квартира-студия, 27,9м², 2/20эт.","Студия 42,62 м² 5-17/24 эт."
Студия,"Квартира-студия, 26,8м², 14/17эт.","Студия 25,34 м² 10-17/24 эт."
Студия,"Квартира-студия, 26,8м², 16/17эт.","Студия 23,29 м² 11-17/24 эт."
Студия,"Квартира-студия, 29,7м², 3/20эт.","Студия 22,83 м² 11-17/24 эт."
Студия,"Квартира-студия, 26,8м², 17/17эт.","Студия 36,92 м² 15-17/24 эт."
Студия,,"Студия 43,63 м² 2/24 эт."
Студия,,"Студия 45,43 м² 2/24 эт."
Студия,,"Студия 44,82 м² 2/24 эт."
Студия,,"Студия 43,19 м² 2/24 эт."
Студия,,"Студия 40,61 м² 2/24 эт."
Студия,,Студия 66 м² 2/24 эт.
Студия,,"Студия 42,8 м² 3-17/24 эт."
Студия,,"Студия 44,45 м² 3-17/24 эт."
Студия,,"Студия 43,82 м² 3-4/24 эт."
Студия,,"Студия 42,3 м² 3-17/24 эт."
Студия,,"Студия 39,52 м² 3-17/24 эт."
Студия,,"Студия 39,58 м² 3-17/24 эт."
Студия,,"Студия 61,12 м² 3/24 эт."
Студия,,"Студия 64,34 м² 4-16/24 эт."
Студия,,"Студия 43,84 м² 5-17/24 эт."
Студия,,"Студия 61,11 м² 5-15/24 эт."
Студия,,"Студия 22,52 м² 13-17/24 эт."
Студия,,"Студия 27,43 м² 2/24 эт."
Студия,,"Студия 42,15 м² 2/24 эт."
Студия,,"Студия 76,17 м² 2/24 эт."
Студия,,"Студия 39,49 м² 3-17/24 эт."
Студия,,"Студия 41,06 м² 3-17/24 эт."
Студия,,"Студия 75,2 м² 3-17/24 эт."
Студия,,"Студия 38,55 м² 5-17/24 эт."
Студия,,"Студия 26,78 м² 11-17/24 эт."
Студия,,"Студия 38,03 м² 5-17/24 эт."
1,"1-к. квартира, 36,7м², 17/25эт.","1-комн. квартира 36,66 м² 11-25/25 эт."
1,"1-к. квартира, 36,7м², 22/25эт.","1-комн. квартира 44,21 м² 23-24/25 эт."
1,"1-к. квартира, 36,7м², 21/25эт.",
1,"1-к. квартира, 36,7м², 24/25эт.",
1,"1-к. квартира, 36,7м², 25/25эт.",
1,"1-к. квартира, 44,2м², 23/25эт.",
1,"1-к. квартира, 44,2м², 24/25эт.",
2,"2-к. квартира, 41,6м², 3/25эт.","2-комн. квартира 46,06 м² 12-25/25 эт."
2,"2-к. квартира, 39,6м², 3/25эт.","2-комн. квартира 44,31 м² 3/25 эт."
2,"2-к. квартира, 40м², 22/25эт.","2-комн. квартира 45,93 м² 13-25/25 эт."
2,"2-к. квартира, 42,7м², 20/25эт.","2-комн. квартира 46,32 м² 14-25/25 эт."
2,"2-к. квартира, 43,9м², 18/25эт.","2-комн. квартира 42,68 м² 17-25/25 эт."
2,"2-к. квартира, 43,9м², 17/25эт.","2-комн. квартира 51,09 м² 22-25/25 эт."
2,"2-к. квартира, 40м², 24/25эт.","2-комн. квартира 39,57 м² 3/25 эт."
2,"2-к. квартира, 40м², 23/25эт.","2-комн. квартира 41,64 м² 3/25 эт."
2,"2-к. квартира, 42,7м², 21/25эт.","2-комн. квартира 46,7 м² 11-25/25 эт."
2,"2-к. квартира, 46м², 13/25эт.","2-комн. квартира 44,38 м² 11-25/25 эт."
2,"2-к. квартира, 44,9м², 17/25эт.","2-комн. квартира 44,13 м² 17-24/25 эт."
2,"2-к. квартира, 44,9м², 16/25эт.","2-комн. квартира 39,96 м² 22-25/25 эт."
2,"2-к. квартира, 44,9м², 18/25эт.","2-комн. квартира 43,86 м² 12-25/25 эт."
2,"2-к. квартира, 43,9м², 21/25эт.","2-комн. квартира 53,16 м² 15-21/25 эт."
2,"2-к. квартира, 45,9м², 17/25эт.","2-комн. квартира 45,92 м² 16-25/25 эт."
2,"2-к. квартира, 45,9м², 16/25эт.","2-комн. квартира 44,89 м² 16-25/25 эт."
2,"2-к. квартира, 46м², 17/25эт.",
2,"2-к. квартира, 46м², 18/25эт.",
2,"2-к. квартира, 46м², 16/25эт.",
2,"2-к. квартира, 46,3м², 15/25эт.",
2,"2-к. квартира, 46,3м², 14/25эт.",
2,"2-к. квартира, 40м², 25/25эт.",
2,"2-к. квартира, 43,9м², 23/25эт.",
2,"2-к. квартира, 43,9м², 24/25эт.",
2,"2-к. квартира, 46,3м², 16/25эт.",
2,"2-к. квартира, 44,9м², 21/25эт.",
2,"2-к. квартира, 46,7м², 13/25эт.",
2,"2-к. квартира, 46,3м², 20/25эт.",
2,"2-к. квартира, 44,4м², 12/25эт.",
2,"2-к. квартира, 44,4м², 11/25эт.",
2,"2-к. квартира, 45,9м², 21/25эт.",
2,"2-к. квартира, 46м², 21/25эт.",
2,"2-к. квартира, 44,9м², 23/25эт.",
2,"2-к. квартира, 46,7м², 16/25эт.",
2,"2-к. квартира, 46,1м², 12/25эт.",
2,"2-к. квартира, 44,4м², 16/25эт.",
2,"2-к. квартира, 44,4м², 19/25эт.",
2,"2-к. квартира, 44,1м², 19/25эт.",
2,"2-к. квартира, 44,1м², 18/25эт.",
2,"2-к. квартира, 44,1м², 17/25эт.",
2,"2-к. квартира, 45,9м², 23/25эт.",
2,"2-к. квартира, 46м², 24/25эт.",
2,"2-к. квартира, 46,3м², 21/25эт.",
2,"2-к. квартира, 42,7м², 25/25эт.",
2,"2-к. квартира, 43,9м², 25/25эт.",
2,"2-к. квартира, 44,4м², 21/25эт.",
2,"2-к. квартира, 44,1м², 22/25эт.",
2,"2-к. квартира, 44,1м², 21/25эт.",
2,"2-к. квартира, 46,3м², 24/25эт.",
2,"2-к. квартира, 46,3м², 23/25эт.",
2,"2-к. квартира, 46,7м², 24/25эт.",
2,"2-к. квартира, 46,1м², 21/25эт.",
2,"2-к. квартира, 46,1м², 22/25эт.",
2,"2-к. квартира, 44,4м², 24/25эт.",
2,"2-к. квартира, 44,4м², 23/25эт.",
2,"2-к. квартира, 46,7м², 25/25эт.",
2,"2-к. квартира, 44,4м², 25/25эт.",
2,"2-к. квартира, 44,1м², 23/25эт.",
2,"2-к. квартира, 44,1м², 24/25эт.",
2,"2-к. квартира, 44,9м², 25/25эт.",
2,"2-к. квартира, 46,1м², 24/25эт.",
2,"2-к. квартира, 46,1м², 23/25эт.",
2,"2-к. квартира, 45,9м², 25/25эт.",
2,"2-к. квартира, 46м², 25/25эт.",
2,"2-к. квартира, 46,3м², 25/25эт.",
2,"2-к. квартира, 44,3м², 3/25эт.",
2,"2-к. квартира, 46,1м², 25/25эт.",
2,"2-к. квартира, 51,1м², 22/25эт.",
2,"2-к. квартира, 53,2м², 15/25эт.",
2,"2-к. квартира, 51,1м², 23/25эт.",
2,"2-к. квартира, 51,1м², 24/25эт.",
2,"2-к. квартира, 53,2м², 17/25эт.",
2,"2-к. квартира, 53,2м², 19/25эт.",
2,"2-к. квартира, 53,2м², 21/25эт.",
2,"2-к. квартира, 51,1м², 25/25эт.",
3,"3-к. квартира, 63,7м², 23/25эт.","3-комн. квартира 67,58 м² 22-24/25 эт."
3,"3-к. квартира, 67,6м², 22/25эт.","3-комн. квартира 97,45 м² 3-6/25 эт."
3,"3-к. квартира, 105,1м², 8/25эт.","3-комн. квартира 105,12 м² 8-25/25 эт."
3,"3-к. квартира, 107,6м², 6/25эт.","3-комн. квартира 92,43 м² 23/25 эт."
3,"3-к. квартира, 107,6м², 5/25эт.","3-комн. квартира 107,55 м² 4-7/25 эт."
3,"3-к. квартира, 105,1м², 13/25эт.","3-комн. квартира 124,96 м² 8-23/25 эт."
3,"3-к. квартира, 105,1м², 12/25эт.","3-комн. квартира 63,65 м² 19-23/25 эт."
3,"3-к. квартира, 105,1м², 11/25эт.","3-комн. квартира 67,85 м² 23/25 эт."
3,"3-к. квартира, 105,1м², 10/25эт.",
3,"3-к. квартира, 105,1м², 15/25эт.",
3,"3-к. квартира, 105,1м², 16/25эт.",
3,"3-к. квартира, 105,1м², 17/25эт.",
3,"3-к. квартира, 105,1м², 19/25эт.",
3,"3-к. квартира, 105,1м², 20/25эт.",
3,"3-к. квартира, 105,1м², 21/25эт.",
3,"3-к. квартира, 105,1м², 23/25эт.",
3,"3-к. квартира, 105,1м², 24/25эт.",
3,"3-к. квартира, 105,1м², 22/25эт.",
3,"3-к. квартира, 105,1м², 25/25эт.",
3,"3-к. квартира, 125м², 15/25эт.",
3,"3-к. квартира, 125м², 8/25эт.",
3,"3-к. квартира, 125м², 13/25эт.",
3,"3-к. квартира, 125м², 10/25эт.",
3,"3-к. квартира, 125м², 9/25эт.",
3,"3-к. квартира, 125м², 14/25эт.",
3,"3-к. квартира, 125м², 16/25эт.",
3,"3-к. квартира, 125м², 17/25эт.",
3,"3-к. квартира, 125м², 19/25эт.",
3,"3-к. квартира, 125м², 22/25эт.",
3,"3-к. квартира, 92,4м², 23/25эт.",
3,"3-к. квартира, 125м², 23/25эт.",
4,"4-к. квартира, 92,4м², 23/25эт.","4-комн. квартира 92,42 м² 23-24/25 эт."
4,"4-к. квартира, 143,6м², 5/25эт.","4-комн. квартира 148,14 м² 8-9/25 эт."
4,"4-к. квартира, 143,6м², 6/25эт.","4-комн. квартира 153,9 м² 3/25 эт."
4,"4-к. квартира, 143,6м², 7/25эт.","4-комн. квартира 87,21 м² 12/25 эт."
4,"4-к. квартира, 120,2м², 12/25эт.","4-комн. квартира 143,67 м² 5-7/25 эт."
4,"4-к. квартира, 120,2м², 9/25эт.","4-комн. квартира 120,23 м² 9-17/25 эт."
4,"4-к. квартира, 120,2м², 17/25эт.","4-комн. квартира 166,36 м² 12-23/25 эт."
4,"4-к. квартира, 120,2м², 14/25эт.",
4,"4-к. квартира, 120,2м², 16/25эт.",
4,"4-к. квартира, 166,4м², 12/25эт.",
4,"4-к. квартира, 166,4м², 13/25эт.",
4,"4-к. квартира, 166,4м², 16/25эт.",
4,"4-к. квартира, 166,4м², 18/25эт.",
4,"4-к. квартира, 166,4м², 15/25эт.",
4,"4-к. квартира, 166,4м², 14/25эт.",
4,"4-к. квартира, 166,4м², 17/25эт.",
4,"4-к. квартира, 166,4м², 20/25эт.",
4,"4-к. квартира, 166,4м², 19/25эт.",
4,"4-к. квартира, 166,4м², 21/25эт.",
4,"4-к. квартира, 166,4м², 22/25эт.",
Студия,"Квартира-студия, 21м², 14/25эт.","Студия 28,84 м² 11-25/25 эт."
Студия,"Квартира-студия, 21м², 14/25эт.","Студия 30,53 м² 21-25/25 эт."
Студия,"Квартира-студия, 21м², 23/25эт.","Студия 27,26 м² 25/25 эт."
Студия,"Квартира-студия, 21м², 24/25эт.","Студия 22,81 м² 12-21/25 эт."
Студия,"Квартира-студия, 21м², 25/25эт.","Студия 20,95 м² 14-25/25 эт."
Студия,"Квартира-студия, 21м², 25/25эт.","Студия 31,25 м² 17-25/25 эт."
Студия,"Квартира-студия, 21м², 25/25эт.","Студия 29,16 м² 8-25/25 эт."
Студия,"Квартира-студия, 29,2м², 8/25эт.",
Студия,"Квартира-студия, 31,2м², 17/25эт.",
Студия,"Квартира-студия, 22,8м², 12/25эт.",
Студия,"Квартира-студия, 28,8м², 12/25эт.",
Студия,"Квартира-студия, 28,8м², 11/25эт.",
Студия,"Квартира-студия, 28,8м², 13/25эт.",
Студия,"Квартира-студия, 29,2м², 11/25эт.",
Студия,"Квартира-студия, 31,2м², 21/25эт.",
Студия,"Квартира-студия, 22,8м², 16/25эт.",
Студия,"Квартира-студия, 28,8м², 17/25эт.",
Студия,"Квартира-студия, 28,8м², 16/25эт.",
Студия,"Квартира-студия, 29,2м², 19/25эт.",
Студия,"Квартира-студия, 29,2м², 17/25эт.",
Студия,"Квартира-студия, 31,2м², 24/25эт.",
Студия,"Квартира-студия, 27,3м², 25/25эт.",
Студия,"Квартира-студия, 22,8м², 21/25эт.",
Студия,"Квартира-студия, 28,8м², 21/25эт.",
Студия,"Квартира-студия, 28,8м², 22/25эт.",
Студия,"Квартира-студия, 29,2м², 21/25эт.",
Студия,"Квартира-студия, 29,2м², 23/25эт.",
Студия,"Квартира-студия, 30,5м², 22/25эт.",
Студия,"Квартира-студия, 30,5м², 21/25эт.",
Студия,"Квартира-студия, 30,5м², 23/25эт.",
Студия,"Квартира-студия, 30,5м², 24/25эт.",
Студия,"Квартира-студия, 31,2м², 25/25эт.",
Студия,"Квартира-студия, 28,8м², 25/25эт.",
Студия,"Квартира-студия, 29,2м², 25/25эт.",
Студия,"Квартира-студия, 30,5м², 25/25эт.",
1,"1-к. квартира, 27,9м², 11/32эт.","1-комн. квартира 27,88 м² 12/32 эт."
1,"1-к. квартира, 27,7м², 13/32эт.","1-комн. квартира 27,74 м² 13/32 эт."
1,"1-к. квартира, 27,7м², 14/32эт.","1-комн. квартира 47,48 м² 2/32 эт."
1,"1-к. квартира, 27,7м², 15/32эт.",
1,"1-к. квартира, 28,6м², 10/11эт.",
2,"2-к. квартира, 43,8м², 19/32эт.","2-комн. квартира 53,43 м² 4-7/32 эт."
2,"2-к. квартира, 43,8м², 21/32эт.","2-комн. квартира 62,15 м² 5/32 эт."
2,"2-к. квартира, 43,8м², 23/32эт.","2-комн. квартира 52,43 м² 5/32 эт."
2,"2-к. квартира, 43,8м², 24/32эт.","2-комн. квартира 52,45 м² 7/32 эт."
2,"2-к. квартира, 43,8м², 25/32эт.","2-комн. квартира 52,39 м² 8/32 эт."
2,"2-к. квартира, 43,8м², 27/32эт.","2-комн. квартира 66,64 м² 10/32 эт."
2,"2-к. квартира, 43,8м², 28/32эт.","2-комн. квартира 48,06 м² 11-13/32 эт."
2,"2-к. квартира, 43,8м², 29/32эт.","2-комн. квартира 51,14 м² 11-13/32 эт."
2,"2-к. квартира, 47,6м², 12/32эт.","2-комн. квартира 47,59 м² 12/32 эт."
2,"2-к. квартира, 43,8м², 30/32эт.","2-комн. квартира 62,3 м² 12/32 эт."
2,"2-к. квартира, 47,5м², 13/32эт.","2-комн. квартира 61,76 м² 13/32 эт."
2,"2-к. квартира, 47,5м², 14/32эт.","2-комн. квартира 57,07 м² 16-29/32 эт."
2,"2-к. квартира, 47,5м², 15/32эт.","2-комн. квартира 49,35 м² 16/32 эт."
2,"2-к. квартира, 48,1м², 16/32эт.","2-комн. квартира 48,14 м² 16/32 эт."
2,"2-к. квартира, 48,6м², 19/32эт.","2-комн. квартира 64,72 м² 16-17/32 эт."
2,"2-к. квартира, 49,3м², 19/32эт.","2-комн. квартира 49,34 м² 17-29/32 эт."
2,"2-к. квартира, 48,6м², 20/32эт.","2-комн. квартира 48,61 м² 20-28/32 эт."
2,"2-к. квартира, 48,6м², 21/32эт.","2-комн. квартира 66,9 м² 20-29/32 эт."
2,"2-к. квартира, 49,3м², 20/32эт.","2-комн. квартира 43,78 м² 21-29/32 эт."
2,"2-к. квартира, 48,6м², 23/32эт.","2-комн. квартира 43,88 м² 25-29/32 эт."
2,"2-к. квартира, 49,3м², 21/32эт.",
2,"2-к. квартира, 48,6м², 24/32эт.",
2,"2-к. квартира, 48,6м², 25/32эт.",
2,"2-к. квартира, 48,6м², 27/32эт.",
2,"2-к. квартира, 48,6м², 28/32эт.",
2,"2-к. квартира, 48,6м², 30/32эт.",
2,"2-к. квартира, 62,2м², 5/32эт.",
2,"2-к. квартира, 62,2м², 7/32эт.",
2,"2-к. квартира, 61,8м², 13/32эт.",
2,"2-к. квартира, 61,8м², 14/32эт.",
2,"2-к. квартира, 61,8м², 15/32эт.",
2,"2-к. квартира, 62,3м², 12/32эт.",
2,"2-к. квартира, 64,7м², 16/32эт.",
2,"2-к. квартира, 64,7м², 17/32эт.",
2,"2-к. квартира, 66,4м², 4/11эт.",
2,"2-к. квартира, 66,4м², 5/11эт.",
2,"2-к. квартира, 66,4м², 6/11эт.",
2,"2-к. квартира, 66,4м², 7/11эт.",
2,"2-к. квартира, 67,7м², 3/11эт.",
2,"2-к. квартира, 66,9м², 19/32эт.",
2,"2-к. квартира, 66,9м², 20/32эт.",
2,"2-к. квартира, 66,9м², 21/32эт.",
2,"2-к. квартира, 66,9м², 23/32эт.",
2,"2-к. квартира, 66,9м², 24/32эт.",
2,"2-к. квартира, 66,9м², 25/32эт.",
2,"2-к. квартира, 66,9м², 27/32эт.",
2,"2-к. квартира, 66,9м², 28/32эт.",
2,"2-к. квартира, 66,9м², 29/32эт.",
2,"2-к. квартира, 66,9м², 30/32эт.",
2,"2-к. квартира, 66,4м², 10/11эт.",
2,"2-к. квартира, 66,6м², 10/32эт.",
3,"3-к. квартира, 72,6м², 3/32эт.","3-комн. квартира 72,63 м² 3/32 эт."
3,"3-к. квартира, 72,6м², 6/32эт.","3-комн. квартира 74,55 м² 4-9/32 эт."
3,"3-к. квартира, 72,6м², 8/32эт.","3-комн. квартира 72,57 м² 6-8/32 эт."
3,"3-к. квартира, 74,6м², 4/32эт.","3-комн. квартира 70,61 м² 11-12/32 эт."
3,"3-к. квартира, 74,6м², 5/32эт.","3-комн. квартира 71,49 м² 21-24/32 эт."
3,"3-к. квартира, 74,6м², 7/32эт.","3-комн. квартира 79,24 м² 24/32 эт."
3,"3-к. квартира, 74,6м², 9/32эт.","3-комн. квартира 71,34 м² 25-29/32 эт."
3,"3-к. квартира, 70,6м², 11/32эт.","3-комн. квартира 79,08 м² 25-29/32 эт."
3,"3-к. квартира, 70,2м², 13/32эт.",
3,"3-к. квартира, 70,2м², 14/32эт.",
3,"3-к. квартира, 70,6м², 12/32эт.",
3,"3-к. квартира, 70,2м², 15/32эт.",
3,"3-к. квартира, 79,2м², 23/32эт.",
3,"3-к. квартира, 79,2м², 24/32эт.",
3,"3-к. квартира, 79,1м², 25/32эт.",
3,"3-к. квартира, 79,1м², 27/32эт.",
3,"3-к. квартира, 79,1м², 28/32эт.",
3,"3-к. квартира, 85,9м², 5/11эт.",
3,"3-к. квартира, 79,1м², 29/32эт.",
3,"3-к. квартира, 85,9м², 6/11эт.",
3,"3-к. квартира, 79,1м², 30/32эт.",
3,"3-к. квартира, 77,9м², 11/11эт.",
3,"3-к. квартира, 85,9м², 10/11эт.",
3,"3-к. квартира, 77,5м², 11/11эт.",
4,"4-к. квартира, 93,5м², 23/32эт.",
4,"4-к. квартира, 93,5м², 27/32эт.",
4,"4-к. квартира, 93,5м², 30/32эт.",
1,"1-к. квартира, 22,8м², 15/25эт.","1-комн. квартира 26,94 м² 11-22/25 эт."
1,"1-к. квартира, 22,8м², 14/25эт.","1-комн. квартира 24,09 м² 25/27 эт."
1,"1-к. квартира, 22,8м², 13/25эт.","1-комн. квартира 27,06 м² 16-22/25 эт."
1,"1-к. квартира, 24,6м², 17/25эт.","1-комн. квартира 24,61 м² 16-22/25 эт."
1,"1-к. квартира, 24,6м², 16/25эт.",1-комн. квартира 24 м² 11-25/27 эт.
1,"1-к. квартира, 22,8м², 17/25эт.","1-комн. квартира 23,81 м² 16/27 эт."
1,"1-к. квартира, 22,8м², 20/25эт.","1-комн. квартира 24,71 м² 12-21/25 эт."
1,"1-к. квартира, 22,8м², 18/25эт.","1-комн. квартира 25,88 м² 15-22/25 эт."
1,"1-к. квартира, 22,8м², 16/25эт.","1-комн. квартира 26,38 м² 1/27 эт."
1,"1-к. квартира, 22,8м², 19/25эт.","1-комн. квартира 22,78 м² 13-22/25 эт."
1,"1-к. квартира, 24,7м², 13/25эт.",
1,"1-к. квартира, 25,9м², 16/25эт.",
1,"1-к. квартира, 25,9м², 19/25эт.",
1,"1-к. квартира, 25,9м², 17/25эт.",
1,"1-к. квартира, 25,9м², 18/25эт.",
1,"1-к. квартира, 22,8м², 21/25эт.",
1,"1-к. квартира, 22,8м², 22/25эт.",
1,"1-к. квартира, 24,7м², 19/25эт.",
1,"1-к. квартира, 24,7м², 20/25эт.",
1,"1-к. квартира, 24,7м², 18/25эт.",
1,"1-к. квартира, 24,7м², 16/25эт.",
1,"1-к. квартира, 24,7м², 17/25эт.",
1,"1-к. квартира, 25,9м², 22/25эт.",
1,"1-к. квартира, 25,9м², 21/25эт.",
1,"1-к. квартира, 25,9м², 18/25эт.",
1,"1-к. квартира, 25,9м², 16/25эт.",
1,"1-к. квартира, 25,9м², 17/25эт.",
1,"1-к. квартира, 25,9м², 21/25эт.",
1,"1-к. квартира, 25,9м², 22/25эт.",
1,"1-к. квартира, 24,7м², 21/25эт.",
1,"1-к. квартира, 26,9м², 19/25эт.",
1,"1-к. квартира, 26,9м², 18/25эт.",
1,"1-к. квартира, 26,9м², 20/25эт.",
1,"1-к. квартира, 26,9м², 17/25эт.",
1,"1-к. квартира, 24,6м², 21/25эт.",
1,"1-к. квартира, 24,6м², 22/25эт.",
1,"1-к. квартира, 26,9м², 21/25эт.",
1,"1-к. квартира, 26,9м², 22/25эт.",
1,"1-к. квартира, 24м², 25/25эт.",
1,"1-к. квартира, 24,1м², 25/25эт.",
2,"2-к. квартира, 31м², 14/25эт.","2-комн. квартира 37,5 м² 6-24/27 эт."
2,"2-к. квартира, 31м², 15/25эт.","2-комн. квартира 56,48 м² 23/25 эт."
2,"2-к. квартира, 31,1м², 13/25эт.","2-комн. квартира 38,24 м² 3-22/25 эт."
2,"2-к. квартира, 31м², 17/25эт.","2-комн. квартира 35,33 м² 1/27 эт."
2,"2-к. квартира, 31м², 19/25эт.","2-комн. квартира 46,5 м² 1/27 эт."
2,"2-к. квартира, 31м², 13/25эт.","2-комн. квартира 40,77 м² 2-25/27 эт."
2,"2-к. квартира, 31м², 20/25эт.","2-комн. квартира 37,56 м² 6-23/27 эт."
2,"2-к. квартира, 31м², 18/25эт.","2-комн. квартира 37,54 м² 25/27 эт."
2,"2-к. квартира, 31м², 16/25эт.","2-комн. квартира 37,57 м² 25/27 эт."
